przepustowosc	r2003	r2005	r2007	r2009	r2011	r2013	Kb
'64 kb/s'	73.42	8.9	0	0	0	0	64
'128 kb/s'	25.7	8.0	10.2	2.6	1	0	128
'256 kb/s'	0	2.1	15.1	4.4	0	0	256
'320 kb/s'	0	0	3.4	1.4	0	0	320
'512 kb/s'	0	2.1	37.2	26.8	11	0	512
'1Mb/s'	0	4.1	11.3	30.4	20	9.3	1024
'2Mb/s'	0	0	3.2	13.8	26	19.6	2048
'6Mb/s'	0	0	0.9	3.0	13	19.6	6144
'10Mb/s'	0	0	0	3.6	9	18.2	10240
'16Mb/s'	0	0	0.0	0.0	0	5.9	16384
'20Mb/s'	0	0	0.0	0.0	3	7.4	20480
'30Mb/s'	0	0	0.0	0.0	3	5.2	30720
'60Mb/s'	0	0	0.0	0.0	0	2.7	61440
'100Mb/s'	0	0	0.0	0.0	0	1.2	102400
